works_id,name,year,books_id,page
fevral,февраль,1981,bkp1,8
atlantic,"То ли мука, то ли скука...",1982,bkp1,64
babelman,Баб-эль-Мандебский пролив,1982,bkp1,80
chastush,частушки,1982,bkp1,14
juzhnyj,Южный ветер. Дальний путь...,1982,bkp1,26
kapitan,капитан бравый,1982,bkp1,19
kariatid,кариатиды,1982,bkp1,114
kolybeln,колыбельная,1982,bkp1,33
korablik,кораблик,1982,bkp1,48
krym,Крым,1982,bkp1,100
ljudisux,люди сухопутья,1982,bkp1,73
mchisnad,"Мчись над волной, смелый...",1982,bkp1,68
ojdachto,"Ой, да что ж это такое...",1982,bkp1,130
risunok,рисунок,1982,bkp1,109
rybakov,песня рыбаков Флориды,1982,bkp1,58
shanson,шансон,1982,bkp1,121
fialkovy,фиалковый букет,1983,bkp1,160
gorestn,горестный романс 1,1983,bkp1,144
kibitka,кибитка,1983,bkp1,165
opilki,опилки,1983,bkp1,148
poshlyj,пошлый романс,1983,bkp1,152
stodruze,сто друзей,1983,bkp1,141
trojka,песня о тройке,1983,bkp1,134
malenkaj,маленькая хозяйка,1984,bkp1,184
marija,Мария,1984,bkp1,195
proscha1,прощальая 1,1984,bkp1,176
sredneg1,песня среднего человека 1,1984,bkp1,198
tolpy,песня толпы,1984,bkp1,203
vishnevo,вишнёвое варенье,1984,bkp1,172
vseravno,всё равно не по себе,1984,bkp1,190
billy,Билли,1985,bkp1,286
bolero1,болеро 1,1985,bkp1,219
deloshlo,Дело шло к рассвету...,1985,bkp1,232
doroga,дорога,1985,bkp1,307
dusha,душа,1985,bkp1,272
ispokojn,тоска по родине,1985,bkp1,303
jaispoln,Я исполняю всё...,1985,bkp1,206
jubilejn,юбилейная,1985,bkp1,242
kogdaby,Когда бы ты была...,1985,bkp1,235
konivvag,кони в вагоне,1985,bkp1,280
krym2,Крым 2,1985,bkp1,250
proscha2,прощальная 2,1985,bkp1,259
romans1,романс 1,1985,bkp1,210
romans2,романс 2,1985,bkp1,226
schitime,щит и меч,1985,bkp1,295
teplyj,Тёплый дом...,1985,bkp1,298
vozvrasc,возвращение,1985,bkp1,252
znamja,Знамя наше на древке...,1985,bkp1,276
alliluja,аллилуйя,1986,bkp1,346
druzjamo,Друзья-мореходы...,1986,bkp1,362
gorestn2,горестный романс 2,1986,bkp1,321
jachashu,Я чашу свою осушил...,1986,bkp1,375
krajzem,"Там, где шелестят...",1986,bkp1,370
maj,май,1986,bkp1,336
moekoro1,моё королевство 1,1986,bkp1,380
moekoro2,моё королевство 2,1986,bkp1,384
mojarabo,моя работа,1986,bkp1,344
navsejz1,на всей Земле,1986,bkp1,310
ogerojax,песня о героях,1986,bkp1,367
pazh,песня пажа,1986,bkp1,331
podzname,Под знаменем Фортуны...,1986,bkp1,326
pustyjeb,Пустые бочки вином наполню...,1986,bkp1,314
sredneg2,песня среднего человека 2,1986,bkp1,356
trubach,трубач,1986,bkp1,353
unasopja,У нас опять зима...,1986,bkp1,391
vosxodja,Восходя дорогой горной...,1986,bkp1,401
zakonxod,закон ходьбы,1986,bkp1,386
adleucon,ad Leuconoen,1987,bkp1,444
balagan1,балаган 1,1987,bkp1,436
muzhajsj,мужайся,1987,bkp1,425
novyjgen,новый гений,1987,bkp1,433
proschan,прощание славянки,1987,bkp1,416
sezondoz,сезон дождей,1987,bkp1,454
temapoko,тема покоя,1987,bkp1,420
tolpaxud,толпа – художнику,1987,bkp1,413
vechnoot,Вечно открытый Божьему гневу...,1987,bkp1,410
vostochr,восточный романс,1987,bkp1,452
akoektop,А кое-кто по костям моим...,1988,bkp2,32
kovcheg,ковчег неутомимый,1988,bkp2,8
navescha,Навещая знакомый берег...,1988,bkp2,25
proscha3,прощальная 3,1988,bkp2,40
vechnoes,вечное Слово,1988,bkp2,19
aerodrom,аэродром,1989,bkp2,114
allegord,аллегория для голоса с хором,1989,bkp2,108
balagan2,балаган 2,1989,bkp2,98
itakdruz,"Итак, друзья, какие...",1989,bkp2,80
japodari,обращение к герою,1989,bkp2,70
kogdajab,Когда я был помоложе...,1989,bkp2,121
kupljubi,контрреволюционный этюд,1989,bkp2,87
mezhetim,Меж этим пределом...,1989,bkp2,50
nichemun,Ничему не поверю...,1989,bkp2,44
otchego1,Мой несчастный друг...,1989,bkp2,55
otchego2,Призвав решительность...,1989,bkp2,60
voslavug,Во славу Греции твоей...,1989,bkp2,75
votpodni,Вот — поднимается ветер...,1989,bkp2,93
vpoxodny,песенка,1989,bkp2,105
zatemzhe,"Затем же, зачем...",1989,bkp2,66
1990,1990,1990,bkp2,272
burja,буря на море,1990,bkp2,146
chtotako,Что такое есть я...,1990,bkp2,240
descensu,descensus ad inferos,1990,bkp2,300
eccehomo,ecce homo,1990,bkp2,175
istorija,"Сначала я, натурально...",1990,bkp2,220
kinemat1,кинематограф 1,1990,bkp2,158
kolybelb,колыбельная безумца,1990,bkp2,132
ljubov,"Любовь, как истина...",1990,bkp2,264
moekoro3,моё королевство 3,1990,bkp2,182
molitva,молитва безумца,1990,bkp2,126
netnet,"Нет, нет!..",1990,bkp2,150
ostrova,острова,1990,bkp2,236
otomirec,О том и речь...,1990,bkp2,216
otynezna,"О ты, не знающий...",1990,bkp2,279
pesenkao,песенка о молодости,1990,bkp2,284
romansma,романс-марш,1990,bkp2,294
sentenci,сентенциозные куплеты,1990,bkp2,261
stixiopr,Для тех несчастных...,1990,bkp2,226
sustavy,суставы,1990,bkp2,231
svidanie,свидание с полковником,1990,bkp2,189
vekaplyv,"Века плывут, подобно китам...",1990,bkp2,202
vostoch1,«восточная» песня 1,1990,bkp2,168
vostoch2,«восточная» песня 2,1990,bkp2,209
vozdvig,воздвиг я памятник,1990,bkp2,254
zaliv,залив,1990,bkp2,246
zavescha,завещание безумца,1990,bkp2,140
1991,1991,1991,bkp2,374
deklarac,декларация,1991,bkp2,307
ej28let,Ей двадцать восемь лет...,1991,bkp2,347
farewell,farewell,1991,bkp2,386
izdaleka,Издалека вернувшись...,1991,bkp2,344
menuet,менуэт,1991,bkp2,350
odnazhdy,Однажды думал-думал...,1991,bkp2,338
panorama,панорама,1991,bkp2,381
peshkom,Пешком с востока...,1991,bkp2,371
prenebre,песня безумца,1991,bkp2,304
sharmans,шарманщик,1991,bkp2,314
shkolat1,школа танцев 1,1991,bkp2,360
vbelojmg,В белой мгле...,1991,bkp2,331
zaklinan,заклинание,1991,bkp2,354
1992,1992,1992,bkp2,468
brodjagi,бродяги,1992,bkp2,398
drugajaz,другая жизнь,1992,bkp2,426
eschemla,Ещё младенцем...,1992,bkp2,402
etiglaza,«эти глаза напротив»,1992,bkp2,440
etodolzh,Это должно случиться...,1992,bkp2,454
farmacev,фармацевт,1992,bkp2,390
fontanka,фонтанка,1992,bkp2,450
