id,number,events_id,works_id,with_mls,is_ensemble,is_pseudo_duet,tonality,has_mls_voice,plays_mls_guitar,mks_no_guitar,mks_no_voice,performers,has_synth
s1984_babelman,10,s1984,babelman,true,false,false,D,true,true,false,false,,false
s1984_vishnevo,15,s1984,vishnevo,false,false,false,Am,false,false,false,false,,false
s1984_gorestn,9,s1984,gorestn,true,false,false,D,true,true,false,false,,false
s1984_davajte,21,s1984,davajte,false,false,false,Dm,false,false,false,false,,false
s1984_kapitan,20,s1984,kapitan,true,false,false,Em,false,false,false,false,,false
s1984_kariatid,30,s1984,kariatid,false,false,false,Dm,false,false,false,false,,false
s1984_kibitka,27,s1984,kibitka,false,false,false,Hm,false,false,false,false,,false
s1984_kolybeln,11,s1984,kolybeln,true,false,false,Em,false,false,false,false,,false
s1984_kolesa,1,s1984,kolesa,true,false,false,G,true,true,false,false,,false
s1984_kolesa,31,s1984,kolesa,true,false,false,G,true,true,false,false,,false
s1984_korablik,3,s1984,korablik,true,false,false,Em,true,true,false,false,,false
s1984_krym,25,s1984,krym,false,false,false,G,false,false,false,false,,false
s1984_ljudisux,5,s1984,ljudisux,true,false,false,"Am > Cm",true,true,false,false,,false
s1984_mchisnad,12,s1984,mchisnad,false,false,false,Em,false,false,false,false,,false
s1984_nastasja,23,s1984,nastasja,false,false,false,Dm,false,false,false,false,,false
s1984_ojdachto,22,s1984,ojdachto,false,false,false,Dm,false,false,false,false,,false
s1984_opilki,19,s1984,opilki,false,false,false,Gm,false,false,false,false,,false
s1984_trojka,18,s1984,trojka,false,false,false,Em,false,false,false,false,,false
s1984_pazh,26,s1984,pazh,false,false,false,Dm,false,false,false,false,,false
s1984_rybakov,13,s1984,rybakov,false,false,false,G,false,false,false,false,,false
s1984_poshlyj,16,s1984,poshlyj,false,false,false,D,false,false,false,false,,false
s1984_proscha1,29,s1984,proscha1,false,false,false,Ebm,false,false,false,false,,false
s1984_risunok,2,s1984,risunok,true,false,false,C,true,true,false,false,,false
s1984_stodruze,28,s1984,stodruze,false,false,false,Gm,false,false,false,false,,false
s1984_atlantic,8,s1984,atlantic,true,false,false,Cm,true,false,false,false,,false
s1984_fevral,17,s1984,fevral,false,false,false,Dm,false,false,false,false,,false
s1984_fialkovy,4,s1984,fialkovy,true,false,false,Hm,false,false,false,false,,false
s1984_chastush,6,s1984,chastush,true,false,false,Em,false,true,false,false,,false
s1984_shanson,14,s1984,shanson,false,false,false,Gm,false,false,false,false,,false
s1984_sheja,24,s1984,sheja,false,false,false,D,false,false,false,false,,false
s1984_juzhnyj,7,s1984,juzhnyj,true,false,false,Dm,true,false,false,false,,false
s1986_kapitan,,s1986,kapitan,false,false,,Em,false,false,false,false,,false
s1986_opilki,,s1986,opilki,false,false,,Gm,false,false,false,false,,false
s1986_trojka,,s1986,trojka,false,false,,Em,false,false,false,false,,false
s1986_shanson,,s1986,shanson,false,false,,Gm,false,false,false,false,,false
s1985_billy,29,s1985,billy,false,false,false,Cm,false,false,false,false,,false
s1985_bolero1,45,s1985,bolero1,true,false,false,A,true,true,false,false,,false
s1985_vishnevo,6,s1985,vishnevo,false,false,,Am,false,false,false,false,,false
s1985_vozvrasc,35,s1985,vozvrasc,false,false,false,"E (Em)",false,false,false,false,,false
s1985_vseravno,17,s1985,vseravno,false,false,,Cm,false,false,false,false,,false
s1985_davajte,20,s1985,davajte,false,false,,Dm,false,false,false,false,,false
s1985_doroga,32,s1985,doroga,false,false,false,Em,false,false,false,false,,false
s1985_dusha,43,s1985,dusha,true,false,false,"A > C",true,true,false,false,,false
s1985_znamja,31,s1985,znamja,false,false,false,D,false,false,false,false,,false
s1985_kapitan,14,s1985,kapitan,false,false,false,Em,false,false,false,false,,false
s1985_kariatid,18,s1985,kariatid,false,false,,Dm,false,false,false,false,,false
s1985_kogdaby,9,s1985,kogdaby,false,false,false,Hm,false,false,false,false,,false
s1985_kolesa,36,s1985,kolesa,true,false,,G,true,true,false,false,,false
s1985_konivvag,33,s1985,konivvag,false,false,,A,false,false,false,false,,false
s1985_korablik,39,s1985,korablik,true,false,false,Em,true,true,false,false,,false
s1985_krym,12,s1985,krym,false,false,false,G,false,false,false,false,,false
s1985_krym2,34,s1985,krym2,false,false,false,Dm,false,false,false,false,,false
s1985_ljudisux,40,s1985,ljudisux,true,false,false,"Am > Dm",true,true,false,false,,false
s1985_malenkaj,7,s1985,malenkaj,false,false,false,"Em > F#m",false,false,false,false,,false
s1985_marija,44,s1985,marija,true,false,false,Em,true,true,false,false,,false
s1985_mojgordy,11,s1985,mojgordy,false,false,false,Dm,false,false,false,false,,false
s1985_mchisnad,19,s1985,mchisnad,false,false,,Em,false,false,false,false,,false
s1985_nastasja,15,s1985,nastasja,false,false,,Dm,false,false,false,false,,false
s1985_ojdachto,13,s1985,ojdachto,false,false,,Dm,false,false,false,false,,false
s1985_opilki,4,s1985,opilki,false,false,,Gm,false,false,false,false,,false
s1985_trojka,2,s1985,trojka,false,false,,Em,false,false,false,false,,false
s1985_pazh,25,s1985,pazh,false,false,,Dm,false,false,false,false,,false
s1985_rybakov,22,s1985,rybakov,false,false,false,G,false,false,false,false,,false
s1985_sredneg1,21,s1985,sredneg1,false,false,false,Em,false,false,false,false,,false
s1985_poshlyj,5,s1985,poshlyj,false,false,,D,false,false,false,false,,false
s1985_pronenad,24,s1985,pronenad,false,false,,Em,false,false,false,false,,false
s1985_proscha1,47,s1985,proscha1,true,false,,"Eb (условно)",true,true,false,false,,false
s1985_proscha2,8,s1985,proscha2,false,false,,Am,false,false,false,false,,false
s1985_risunok,37,s1985,risunok,true,false,false,C,true,true,false,false,,false
s1985_romans1,28,s1985,romans1,false,false,,Dm,false,false,false,false,,false
s1985_romans2,23,s1985,romans2,false,false,,Dm,false,false,false,false,,false
s1985_stodruze,10,s1985,stodruze,false,false,,Gm,false,false,false,false,,false
s1985_teplyj,30,s1985,teplyj,false,false,false,Am,false,false,false,false,,false
s1985_fevral,3,s1985,fevral,false,false,,Dm,false,false,false,false,,false
s1985_fialkovy,38,s1985,fialkovy,false,false,,Hm,false,false,false,false,,false
s1985_chastush,41,s1985,chastush,true,false,false,Em,false,true,false,false,,false
s1985_shanson,1,s1985,shanson,false,false,,Gm,false,false,false,false,,false
s1985_sheja,26,s1985,sheja,false,false,,D,false,false,false,false,,false
s1985_schitime,27,s1985,schitime,false,false,false,Am,false,false,false,false,,false
s1985_jubilejn,46,s1985,jubilejn,true,false,,Cm,true,true,false,false,,false
