id,number,events_id,works_id,with_mls,is_ensemble,is_pseudo_duet,tonality,has_mls_voice,plays_mls_guitar,mks_no_guitar,mks_no_voice,performers,has_synth
s1996-02_vjuga,11,s1996-02,vjuga,true,false,false,Em,false,true,false,false,,false
s1996-02_kalejdos,3,s1996-02,kalejdos,true,false,false,Hm,true,true,false,false,,false
s1996-02_ljubov,18,s1996-02,ljubov,true,false,false,"Am > Cm",true,true,false,false,,false
s1996-02_molitva,2,s1996-02,molitva,true,false,false,Gm,true,true,false,false,,false
s1996-02_muzhajsj,5,s1996-02,muzhajsj,true,false,false,Bm,true,true,false,false,,false
s1996-02_navsejz1,13,s1996-02,navsejz1,true,false,false,Am,true,true,false,false,,false
s1996-02_okean,12,s1996-02,okean,true,false,false,C,true,true,false,false,,false
s1996-02_poshlyj,8,s1996-02,poshlyj,true,false,false,D,true,true,false,false,,false
s1996-02_proschan,14,s1996-02,proschan,true,false,false,Dm,true,true,false,false,,false
s1996-02_romansma,17,s1996-02,romansma,true,false,false,"Em > Gm",true,true,false,false,,false
s1996-02_svidanie,16,s1996-02,svidanie,true,false,false,"Am > Cm",false,true,false,false,,false
s1996-02_sezondoz,9,s1996-02,sezondoz,true,false,false,Em,true,true,false,false,,false
s1996-02_temapoko,1,s1996-02,temapoko,true,false,false,C,true,true,false,false,,false
s1996-02_sharmans,19,s1996-02,sharmans,true,false,false,"Dm > Em",true,true,false,false,,false
s1996-02_etoja,7,s1996-02,etoja,true,false,false,C,true,true,false,false,,false
s1998-cd_varjete,11,s1998-cd,varjete,false,false,false,Hm,false,false,true,false,,true
s1998-cd_dvaslova,7,s1998-cd,dvaslova,false,false,false,Gm,false,false,true,false,,true
s1998-cd_zhaloba,12,s1998-cd,zhaloba,false,false,false,Hm,false,false,true,false,,true
s1998-cd_zvezdoch,8,s1998-cd,zvezdoch,false,false,false,Am,false,false,true,false,,true
s1998-cd_interme4,13,s1998-cd,interme4,false,false,false,A,false,false,true,false,,true
s1998-cd_krechi,14,s1998-cd,krechi,false,false,false,Am,false,false,true,false,,true
s1998-cd_krasnye,5,s1998-cd,krasnye,false,false,false,Am,false,false,true,false,,true
s1998-cd_lozhnyj,3,s1998-cd,lozhnyj,false,false,false,Hm,false,false,true,false,,true
s1998-cd_nochnoj,4,s1998-cd,nochnoj,false,false,false,Abm,false,false,true,false,,true
s1998-cd_otrozhde,9,s1998-cd,otrozhde,false,false,false,Hm,false,false,true,false,,true
s1998-cd_ryba,6,s1998-cd,ryba,false,false,false,Dm,false,false,true,false,,true
s1998-cd_cirkach,2,s1998-cd,cirkach,false,false,false,Dm,false,false,true,false,,true
s1998-cd_chuzhaj1,1,s1998-cd,chuzhaj1,false,false,false,Em,false,false,true,false,,true
s1998-cd_chuzhaj2,10,s1998-cd,chuzhaj2,false,false,false,Am,false,false,true,false,,true
s1999-2000-s_deja,3,s1999-2000-s,deja,false,false,false,Em,false,false,true,false,,true
s1999-2000-s_theraven,33,s1999-2000-s,theraven,false,false,false,Am,false,false,true,false,,true
s1999-2000-s_avstrali,36,s1999-2000-s,avstrali,false,false,false,Hm,false,false,true,false,,true
s1999-2000-s_allegro,11,s1999-2000-s,allegro,false,false,false,Em,false,false,true,false,,true
s1999-2000-s_alliluja,20,s1999-2000-s,alliluja,false,false,false,Gm,false,false,true,false,,true
s1999-2000-s_andante,10,s1999-2000-s,andante,false,false,false,Hm,false,false,true,false,,true
s1999-2000-s_aerodrom,23,s1999-2000-s,aerodrom,false,false,false,Dm,false,false,true,false,,true
s1999-2000-s_baltijsk,31,s1999-2000-s,baltijsk,false,false,false,C#m,false,false,true,false,,true
s1999-2000-s_gostinic,9,s1999-2000-s,gostinic,false,false,false,Am,false,false,true,false,,true
s1999-2000-s_diktant,35,s1999-2000-s,diktant,false,false,false,Cm,false,false,true,false,,true
s1999-2000-s_zaklinan,26,s1999-2000-s,zaklinan,false,false,false,Hm,false,false,true,false,,true
s1999-2000-s_izdaleka,25,s1999-2000-s,izdaleka,false,false,false,C#m,false,false,true,false,,true
s1999-2000-s_ksorokon,32,s1999-2000-s,ksorokon,false,false,false,Gm,false,false,true,false,,true
s1999-2000-s_kadril,29,s1999-2000-s,kadril,false,false,false,C,false,false,true,false,,true
s1999-2000-s_korablik,17,s1999-2000-s,korablik,true,false,false,Dm,true,false,true,false,,true
s1999-2000-s_korchma,34,s1999-2000-s,korchma,false,false,false,Hm,false,false,true,false,,true
s1999-2000-s_lunnaja,2,s1999-2000-s,lunnaja,false,false,false,Am,false,false,true,false,,true
s1999-2000-s_marshkro,30,s1999-2000-s,marshkro,false,false,false,Hm,false,false,true,false,,true
s1999-2000-s_nebyvaet,15,s1999-2000-s,nebyvaet,false,false,false,Bm,false,false,true,false,,true
s1999-2000-s_nerazmen,4,s1999-2000-s,nerazmen,false,false,false,Bm,false,false,true,false,,true
s1999-2000-s_ochnulsj,28,s1999-2000-s,ochnulsj,false,false,false,Dm,false,false,true,false,,true
s1999-2000-s_pamjativ,8,s1999-2000-s,pamjativ,false,false,false,Hm,false,false,true,false,,true
s1999-2000-s_trojka,18,s1999-2000-s,trojka,false,false,false,Dm,false,false,true,false,,true
