"id","number","perfs_id","sets_id"
pomotivam_01_razvecht,01,s2019-s_razvecht,pomotivam
pomotivam_02_neuzheli,02,s2019-s_neuzheli,pomotivam
pomotivam_03_samsebe,03,s2019-s_samsebe,pomotivam
pomotivam_04_kolodec,04,s2019-s_kolodec,pomotivam
pomotivam_05_takieshk,05,s2019-s_takieshk,pomotivam
pomotivam_06_bukvynak,06,s2019-s_bukvynak,pomotivam
pomotivam_07_apteka,07,s2019-s_apteka,pomotivam
pomotivam_08_sovsemne,08,s2019-s_sovsemne,pomotivam
pomotivam_09_hotyaizr,09,s2019-s_hotyaizr,pomotivam
pomotivam_10_kogdakaz,10,s2019-s_kogdakaz,pomotivam
pomotivam_11_izpepla,11,s2019-s_izpepla,pomotivam
pomotivam_12_kudanena,12,s2019-s_kudanena,pomotivam
pomotivam_13_westcoast,13,s2019-s_westcoast,pomotivam
pomotivam_14_propalpr,14,s2019-s_propalpr,pomotivam
pomotivam_15_kchemuis,15,s2019-s_kchemuis,pomotivam
