"id","number","perfs_id","sets_id"
fauxpas_01_s1998-cd_chuzhaj1,01,s1998-cd_chuzhaj1,fauxpas
fauxpas_02_s1998-cd_cirkach,02,s1998-cd_cirkach,fauxpas
fauxpas_03_s1998-cd_lozhnyj,03,s1998-cd_lozhnyj,fauxpas
fauxpas_04_s1998-cd_nochnoj,04,s1998-cd_nochnoj,fauxpas
fauxpas_05_s1998-cd_krasnye,05,s1998-cd_krasnye,fauxpas
fauxpas_06_s1998-cd_ryba,06,s1998-cd_ryba,fauxpas
fauxpas_07_s1998-cd_dvaslova,07,s1998-cd_dvaslova,fauxpas
fauxpas_08_s1998-cd_zvezdoch,08,s1998-cd_zvezdoch,fauxpas
fauxpas_09_s1998-cd_otrozhde,09,s1998-cd_otrozhde,fauxpas
fauxpas_10_s1998-cd_chuzhaj2,10,s1998-cd_chuzhaj2,fauxpas
fauxpas_11_s1998-cd_varjete,11,s1998-cd_varjete,fauxpas
fauxpas_12_s1998-cd_zhaloba,12,s1998-cd_zhaloba,fauxpas
fauxpas_13_s1998-cd_interme4,13,s1998-cd_interme4,fauxpas
fauxpas_14_s1998-cd_krechi,14,s1998-cd_krechi,fauxpas
