"id","number","perfs_id","sets_id"
"drugaja_01_s1993-s_drugajaz",1,"s1993-s_drugajaz","drugaja"
"drugaja_02_s1993-s_descensu",2,"s1993-s_descensu","drugaja"
"drugaja_03_s1993-s_fontanka",3,"s1993-s_fontanka","drugaja"
"drugaja_04_s1993-s_kakojkos",4,"s1993-s_kakojkos","drugaja"
"drugaja_05_s1993-s_menuet",5,"s1993-s_menuet","drugaja"
"drugaja_06_s1993-s_aerodrom",6,"s1993-s_aerodrom","drugaja"
"drugaja_07_s1993-m_rusalka",7,"s1993-m_rusalka","drugaja"
"drugaja_08_s1993-s_shkolat1",8,"s1993-s_shkolat1","drugaja"
"drugaja_09_s1993-s_ochnulsj",9,"s1993-s_ochnulsj","drugaja"
"drugaja_10_s1993_1992","drugaja",10,"s1993_1992","drugaja"
"drugaja_11_s1993-s_farmacev",11,"s1993-s_farmacev","drugaja"
"drugaja_12_s1993-f_rozhdest",12,"s1993-f_rozhdest","drugaja"
"drugaja_13_s1994-s_theraven",13,"s1994-s_theraven","drugaja"
"drugaja_14_s1993-f_baltijsk",14,"s1993-f_baltijsk","drugaja"
"drugaja_15_s1994-s_nazimnej",15,"s1994-s_nazimnej","drugaja"
"drugaja_16_s1994-s_vechnoes",16,"s1994-s_vechnoes","drugaja"
"drugaja_17_s1994-s_sredneg2",17,"s1994-s_sredneg2","drugaja"
"drugaja_18_s1994-s_rodljuds",18,"s1994-s_rodljuds","drugaja"
"drugaja_19_s1994-s_jim",19,"s1994-s_jim","drugaja"
"drugaja_20_s1994-s_ballada",20,"s1994-s_ballada","drugaja"
"drugaja_21_s1994-s_prosba",21,"s1994-s_prosba","drugaja"
"balagan_1996_01_s1996-02_temapoko",1,"s1996-02_temapoko","balagan_1996"
"balagan_1996_02_s1996-02_molitva",2,"s1996-02_molitva","balagan_1996"
"balagan_1996_03_s1996-02_kalejdos",3,"s1996-02_kalejdos","balagan_1996"
"balagan_1996_04_s1996-02_vekaplyv",4,"s1996-02_vekaplyv","balagan_1996"
"balagan_1996_05_s1996-02_muzhajsj",5,"s1996-02_muzhajsj","balagan_1996"
"balagan_1996_06_s1996-02_voslavug",6,"s1996-02_voslavug","balagan_1996"
"balagan_1996_07_s1996-02_etoja",7,"s1996-02_etoja","balagan_1996"
"balagan_1996_08_s1996-02_poshlyj",8,"s1996-02_poshlyj","balagan_1996"
"balagan_1996_09_s1996-02_sezondoz",9,"s1996-02_sezondoz","balagan_1996"
"balagan_1996_10_s1996-02_vozvrasc",10,"s1996-02_vozvrasc","balagan_1996"
"balagan_1996_11_s1996-02_vjuga",11,"s1996-02_vjuga","balagan_1996"
"balagan_1996_12_s1996-02_proschan",12,"s1996-02_proschan","balagan_1996"
"balagan_1996_13_s1996-02_navsejz1",13,"s1996-02_navsejz1","balagan_1996"
"balagan_1996_14_s1996-02_okean",14,"s1996-02_okean","balagan_1996"
"balagan_1996_15_s1996-02_allegord",15,"s1996-02_allegord","balagan_1996"
"balagan_1996_16_s1996-02_svidanie",16,"s1996-02_svidanie","balagan_1996"
"balagan_1996_17_s1996-02_romansma",17,"s1996-02_romansma","balagan_1996"
"balagan_1996_18_s1996-02_ljubov",18,"s1996-02_ljubov","balagan_1996"
"balagan_1996_19_s1996-02_sharmans",19,"s1996-02_sharmans","balagan_1996"
"balagan_1996_20_s1996-02_balagan2",20,"s1996-02_balagan2","balagan_1996"
"vishnevo_01_s1990-a1_vosxodja",1,"s1990-a1_vosxodja","vishnevo"
"vishnevo_02_s1990-a1_romans1",2,"s1990-a1_romans1","vishnevo"
"vishnevo_03_s1990-a1_adleucon",3,"s1990-a1_adleucon","vishnevo"
"vishnevo_04_s1990-a1_vishnevo",4,"s1990-a1_vishnevo","vishnevo"
"vishnevo_05_s1990-a1_bolero1",5,"s1990-a1_bolero1","vishnevo"
"vishnevo_06_s1990-a1_dusha",6,"s1990-a1_dusha","vishnevo"
"vishnevo_07_s1990-a1_malenkaj",7,"s1990-a1_malenkaj","vishnevo"
"vishnevo_08_s1990-a1_proscha1",8,"s1990-a1_proscha1","vishnevo"
"vishnevo_09_s1990-a1_kibitka",9,"s1990-a1_kibitka","vishnevo"
"vishnevo_10_s1990-a1_alliluja",10,"s1990-a1_alliluja","vishnevo"
"vishnevo_11_s1990-a1_konivvag",11,"s1990-a1_konivvag","vishnevo"
"vishnevo_12_s1990-a1_trubach",12,"s1990-a1_trubach","vishnevo"
"vishnevo_13_s1990-a1_marija",13,"s1990-a1_marija","vishnevo"
"vishnevo_14_s1990-a1_kovcheg",14,"s1990-a1_kovcheg","vishnevo"
"vishnevo_15_s1990-a1_proscha2",15,"s1990-a1_proscha2","vishnevo"
"vishnevo_16_s1990-a1_jubilejn",16,"s1990-a1_jubilejn","vishnevo"
"vishnevo_17_s1990-a1_balagan1",17,"s1990-a1_balagan1","vishnevo"
