id,number,perfs_id,sets_id
gorod_01_s1994-s_tochtoxo,01,s1994-s_tochtoxo,gorod
gorod_02_s1994-s_duet,02,s1994-s_duet,gorod
gorod_03_s1995-s_piesa,03,s1995-s_piesa,gorod
gorod_04_s1994-s_avstrali,04,s1994-s_avstrali,gorod
gorod_05_s1995-s_karavan,05,s1995-s_karavan,gorod
gorod_06_s1994-s_podrosto,06,s1994-s_podrosto,gorod
gorod_07_s1995-s_paris,07,s1995-s_paris,gorod
gorod_08_s1994-s_drugoe,08,s1994-s_drugoe,gorod
gorod_09_s1994-s_korchma,09,s1994-s_korchma,gorod
gorod_10_s1994-s_vrjadli,10,s1994-s_vrjadli,gorod
gorod_11_s1995-s_chinatow,11,s1995-s_chinatow,gorod
gorod_12_s1994-s_marshkro,12,s1994-s_marshkro,gorod
gorod_13_s1994-s_diktant,13,s1994-s_diktant,gorod
gorod_14_s1994-s_avtoparo,14,s1994-s_avtoparo,gorod
gorod_15_s1995-s_shkolat2,15,s1995-s_shkolat2,gorod
gorod_16_s1995-s_kogoljub,16,s1995-s_kogoljub,gorod
gorod_17_s1995-s_vtornik,17,s1995-s_vtornik,gorod
gorod_18_s1994-s_instrukc,18,s1994-s_instrukc,gorod
