"id","number","perfs_id","sets_id"
"balagan_1996_01_s1996-02_temapoko",1,"s1996-02_temapoko","balagan_1996"
"balagan_1996_02_s1996-02_molitva",2,"s1996-02_molitva","balagan_1996"
"balagan_1996_03_s1996-02_kalejdos",3,"s1996-02_kalejdos","balagan_1996"
"balagan_1996_04_s1996-02_vekaplyv",4,"s1996-02_vekaplyv","balagan_1996"
"balagan_1996_05_s1996-02_muzhajsj",5,"s1996-02_muzhajsj","balagan_1996"
"balagan_1996_06_s1996-02_voslavug",6,"s1996-02_voslavug","balagan_1996"
"balagan_1996_07_s1996-02_etoja",7,"s1996-02_etoja","balagan_1996"
"balagan_1996_08_s1996-02_poshlyj",8,"s1996-02_poshlyj","balagan_1996"
"balagan_1996_09_s1996-02_sezondoz",9,"s1996-02_sezondoz","balagan_1996"
"balagan_1996_10_s1996-02_vozvrasc",10,"s1996-02_vozvrasc","balagan_1996"
"balagan_1996_11_s1996-02_vjuga",11,"s1996-02_vjuga","balagan_1996"
"balagan_1996_12_s1996-02_proschan",12,"s1996-02_proschan","balagan_1996"
"balagan_1996_13_s1996-02_navsejz1",13,"s1996-02_navsejz1","balagan_1996"
"balagan_1996_14_s1996-02_okean",14,"s1996-02_okean","balagan_1996"
"balagan_1996_15_s1996-02_allegord",15,"s1996-02_allegord","balagan_1996"
"balagan_1996_16_s1996-02_svidanie",16,"s1996-02_svidanie","balagan_1996"
"balagan_1996_17_s1996-02_romansma",17,"s1996-02_romansma","balagan_1996"
"balagan_1996_18_s1996-02_ljubov",18,"s1996-02_ljubov","balagan_1996"
"balagan_1996_19_s1996-02_sharmans",19,"s1996-02_sharmans","balagan_1996"
"balagan_1996_20_s1996-02_balagan2",20,"s1996-02_balagan2","balagan_1996"
21,Звукозапись 2000/"Я чашу свою..."
22,Звукозапись 2000/"Билли"
23,Звукозапись 2000/"Декларация"
24,Звукозапись 2000/"Залив"
25,Звукозапись 2000/"1992"
26,Звукозапись 2000/"В белой мгле..."
