"id","number","perfs_id","sets_id"
zaklinan_01_s1995-s_kolybeln,01,s1995-s_kolybeln,zaklinan
zaklinan_02_s1995-s_serdcean,02,s1995-s_serdcean,zaklinan
zaklinan_03_s1995-s_eccehomo,03,s1995-s_eccehomo,zaklinan
zaklinan_04_s1995-s_interme1,04,s1995-s_interme1,zaklinan
zaklinan_05_s1995-s_aneta,05,s1995-s_aneta,zaklinan
zaklinan_06_s1995-s_1995,06,s1995-s_1995,zaklinan
zaklinan_07_s1995-s_predpolo,07,s1995-s_predpolo,zaklinan
zaklinan_08_s1995-s_mezhetim,08,s1995-s_mezhetim,zaklinan
zaklinan_09_s1995-s_vpoxodny,09,s1995-s_vpoxodny,zaklinan
zaklinan_10_s1995-s_otchego1,10,s1995-s_otchego1,zaklinan
zaklinan_11_s1995-s_otchego2,11,s1995-s_otchego2,zaklinan
zaklinan_12_s1993-f_zaklinan,12,s1993-f_zaklinan,zaklinan
zaklinan_13_s1995-s_interme2,13,s1995-s_interme2,zaklinan
zaklinan_14_s1995-s_natura,14,s1995-s_natura,zaklinan
zaklinan_15_s1993-m_netnet,15,s1993-m_netnet,zaklinan
zaklinan_16_s1992_brodjagi,16,s1992_brodjagi,zaklinan
zaklinan_17_s1992_poslexol,17,s1992_poslexol,zaklinan
zaklinan_18_s1993-s_kadril,18,s1993-s_kadril,zaklinan
zaklinan_19_s1993-s_vademecu,19,s1993-s_vademecu,zaklinan
